i,e,y,u,
431,12.278,12.852,900.192,
432,12.148,12.952,901.345,
433,12.048,12.924,902.565,
434,12.076,12.819,903.836,
435,12.181,12.799,905.093,
436,12.201,12.917,906.270,
437,12.083,13.032,907.410,
438,11.968,13.028,908.608,
439,11.972,12.927,909.865,
440,12.073,12.879,911.121,
441,12.121,12.976,912.306,
442,12.024,13.105,913.436,
443,11.895,13.130,914.609,
444,11.870,13.041,915.848,
445,11.959,12.966,917.102,
446,12.034,13.032,918.298,
447,11.968,13.168,919.424,
448,11.832,13.227,920.572,
449,11.773,13.160,921.788,
450,11.840,13.064,923.035,
451,11.936,13.089,924.243,
452,11.911,13.221,925.374,
453,11.779,13.313,926.498,
454,11.687,13.280,927.687,
455,11.720,13.176,928.921,
456,11.824,13.153,930.139,
457,11.847,13.264,931.284,
458,11.736,13.384,932.390,
459,11.616,13.395,933.547,
460,11.605,13.301,934.762,
461,11.699,13.233,935.985,
462,11.767,13.303,937.148,
463,11.697,13.437,938.249,
464,11.563,13.496,939.373,
465,11.504,13.433,940.562,
466,11.567,13.335,941.779,
467,11.665,13.348,942.963,
468,11.652,13.474,944.073,
469,11.526,13.576,945.169,
470,11.424,13.561,946.323,
471,11.439,13.461,947.525,
472,11.539,13.413,948.722,
473,11.587,13.500,949.855,
474,11.500,13.630,950.937,
475,11.370,13.674,952.053,
476,11.326,13.601,953.229,
477,11.399,13.509,954.427,
478,11.491,13.532,955.585,
479,11.468,13.660,956.675,
480,11.340,13.757,957.756,
481,11.243,13.739,958.896,
482,11.261,13.638,960.080,
483,11.362,13.590,961.257,
484,11.410,13.675,962.372,
485,11.325,13.805,963.438,
486,11.195,13.854,964.535,
487,11.146,13.787,965.690,
488,11.213,13.692,966.869,
489,11.308,13.701,968.014,
490,11.299,13.822,969.092,
491,11.178,13.929,970.154,
492,11.071,13.929,971.268,
493,11.071,13.834,972.429,
494,11.166,13.767,973.592,
495,11.233,13.828,974.702,
496,11.172,13.959,975.755,
497,11.041,14.033,976.824,
498,10.967,13.991,977.949,
499,11.009,13.889,979.108,
500,11.111,13.862,980.249,
501,11.138,13.960,981.326,
502,11.040,14.084,982.367,
503,10.916,14.121,983.446,
504,10.879,14.050,984.577,
505,10.950,13.957,985.726,
506,11.043,13.969,986.841,
507,11.031,14.087,987.892,
508,10.913,14.195,988.930,
509,10.805,14.201,990.016,
510,10.799,14.111,991.147,
511,10.889,14.036,992.283,
512,10.964,14.080,993.372,
513,10.920,14.207,994.405,
514,10.793,14.296,995.443,
515,10.704,14.277,996.532,
516,10.723,14.179,997.658,
517,10.821,14.123,998.780,
518,10.877,14.191,999.846,
519,10.809,14.319,1000.866,
520,10.681,14.391,1001.903,
521,10.609,14.353,1002.992,
522,10.647,14.253,1004.112,
523,10.747,14.214,1005.218,
524,10.786,14.297,1006.266,
525,10.703,14.423,1007.275,
526,10.577,14.482,1008.311,
527,10.518,14.432,1009.397,
528,10.568,14.333,1010.508,
529,10.667,14.307,1011.599,
530,10.693,14.398,1012.632,
531,10.602,14.522,1013.633,
532,10.478,14.572,1014.665,
533,10.428,14.515,1015.745,
534,10.485,14.417,1016.847,
535,10.583,14.398,1017.926,
536,10.602,14.493,1018.947,
537,10.507,14.614,1019.940,
538,10.386,14.661,1020.966,
539,10.339,14.603,1022.037,
540,10.397,14.505,1023.129,
541,10.495,14.487,1024.198,
542,10.513,14.581,1025.210,
543,10.419,14.702,1026.195,
544,10.298,14.751,1027.212,
545,10.249,14.695,1028.273,
546,10.305,14.598,1029.356,
547,10.402,14.573,1030.417,
548,10.427,14.662,1031.423,
549,10.338,14.785,1032.400,
550,10.215,14.841,1033.405,
551,10.159,14.793,1034.454,
552,10.207,14.695,1035.527,
553,10.305,14.659,1036.582,
554,10.341,14.738,1037.585,
555,10.262,14.861,1038.554,
556,10.139,14.929,1039.546,
557,10.071,14.894,1040.581,
558,10.106,14.797,1041.643,
559,10.203,14.746,1042.694,
560,10.254,14.808,1043.696,
561,10.192,14.931,1044.659,
562,10.069,15.013,1045.636,
563,9.987,14.997,1046.654,
564,10.003,14.905,1047.704,
565,10.095,14.837,1048.751,
566,10.163,14.875,1049.756,
567,10.125,14.992,1050.715,
568,10.008,15.091,1051.676,
569,9.909,15.100,1052.676,
570,9.900,15.020,1053.711,
571,9.980,14.935,1054.754,
572,10.065,14.942,1055.763,
573,10.058,15.046,1056.722,
574,9.954,15.159,1057.669,
575,9.841,15.198,1058.649,
576,9.802,15.140,1059.666,
577,9.860,15.045,1060.701,
578,9.955,15.016,1061.715,
579,9.984,15.095,1062.680,
580,9.905,15.215,1063.617,
581,9.785,15.286,1064.574,
582,9.714,15.260,1065.571,
583,9.740,15.166,1066.593,
584,9.834,15.103,1067.610,
585,9.897,15.143,1068.585,
586,9.857,15.258,1069.519,
587,9.742,15.357,1070.455,
588,9.643,15.372,1071.428,
589,9.628,15.298,1072.433,
590,9.702,15.209,1073.447,
591,9.791,15.201,1074.434,
592,9.799,15.292,1075.373,
593,9.708,15.409,1076.295,
594,9.591,15.467,1077.241,
595,9.533,15.431,1078.223,
596,9.569,15.336,1079.228,
597,9.664,15.280,1080.223,
598,9.720,15.326,1081.176,
599,9.674,15.440,1082.092,
600,9.560,15.537,1083.014,
601,9.463,15.551,1083.969,
602,9.449,15.479,1084.955,
603,9.521,15.390,1085.951,
604,9.610,15.376,1086.920,
605,9.624,15.460,1087.845,
606,9.540,15.577,1088.750,
607,9.423,15.644,1089.676,
608,9.356,15.619,1090.636,
609,9.381,15.529,1091.620,
610,9.471,15.461,1092.600,
611,9.539,15.487,1093.543,
612,9.513,15.593,1094.447,
613,9.407,15.700,1095.348,
614,9.300,15.736,1096.278,
615,9.264,15.682,1097.239,
616,9.318,15.589,1098.216,
617,9.411,15.546,1099.177,
618,9.454,15.603,1100.097,
619,9.397,15.718,1100.987,
620,9.282,15.809,1101.886,
621,9.191,15.819,1102.817,
622,9.181,15.747,1103.776,
623,9.253,15.658,1104.742,
624,9.342,15.640,1105.684,
625,9.360,15.718,1106.585,
626,9.282,15.833,1107.466,
627,9.167,15.909,1108.363,
628,9.091,15.899,1109.292,
629,9.101,15.816,1110.245,
630,9.184,15.736,1111.200,
631,9.264,15.737,1112.125,
632,9.263,15.827,1113.011,
633,9.173,15.940,1113.884,
634,9.060,16.003,1114.778,
635,8.997,15.979,1115.703,
636,9.021,15.892,1116.648,
637,9.108,15.820,1117.591,
638,9.180,15.833,1118.501,
639,9.167,15.928,1119.375,
640,9.072,16.038,1120.242,
641,8.962,16.094,1121.130,
642,8.906,16.064,1122.048,
643,8.936,15.975,1122.985,
644,9.025,15.907,1123.916,
645,9.093,15.925,1124.816,
646,9.075,16.021,1125.680,
647,8.979,16.130,1126.538,
648,8.870,16.184,1127.419,
649,8.816,16.152,1128.329,
650,8.848,16.064,1129.256,
651,8.936,15.996,1130.178,
652,9.004,16.012,1131.068,
653,8.988,16.107,1131.925,
654,8.893,16.216,1132.775,
655,8.784,16.273,1133.646,
656,8.727,16.246,1134.545,
657,8.754,16.160,1135.462,
658,8.840,16.088,1136.376,
659,8.912,16.096,1137.260,
660,8.904,16.184,1138.110,
661,8.816,16.294,1138.952,
662,8.706,16.359,1139.812,
663,8.641,16.344,1140.698,
664,8.656,16.263,1141.604,
665,8.737,16.184,1142.510,
666,8.816,16.177,1143.391,
667,8.823,16.254,1144.237,
